asset,date,open,high,low,close,volume
AAPL,2010-03-03,101.38,103.24,100.57,101.28,4441579
AAPL,2010-03-04,101.28,102.69,100.89,102.64,2376830
AAPL,2010-03-05,102.64,104.23,101.12,101.83,3136602
AAPL,2010-03-06,101.83,104.19,99.86,103.95,1748967
AAPL,2010-03-07,103.95,104.86,99.41,101.40,1485053
AAPL,2010-03-08,101.40,101.92,99.06,100.49,1007093
AAPL,2010-03-09,100.49,102.26,98.60,100.87,4091360
AAPL,2010-03-10,100.87,101.98,99.53,101.83,2384959
AAPL,2010-03-11,101.83,103.40,100.00,103.14,3127025
AAPL,2010-03-12,103.14,103.97,101.43,102.03,1533883
AAPL,2010-03-13,102.03,102.81,97.36,98.84,1729923
AAPL,2010-03-14,98.84,100.52,98.84,99.43,2203403
AAPL,2010-03-15,99.43,100.64,94.24,94.85,2852984
AAPL,2010-03-16,94.85,95.75,92.93,94.64,4338769
AAPL,2010-03-17,94.64,97.46,93.38,96.91,3597368
AAPL,2010-03-18,96.91,98.37,92.66,93.92,1942211
AAPL,2010-03-19,93.92,95.20,92.07,95.11,3563868
AAPL,2010-03-20,95.11,95.48,93.07,94.38,3073568
AAPL,2010-03-21,94.38,95.68,92.35,94.03,4608949
AAPL,2010-03-22,94.03,95.84,93.70,95.03,3918865
AAPL,2010-03-23,95.03,95.60,93.42,95.12,2914539
AAPL,2010-03-24,95.12,96.13,91.88,92.92,2330844
AAPL,2010-03-25,92.92,95.18,91.37,94.22,3297941
AAPL,2010-03-26,94.22,95.85,93.20,94.05,4153180
AAPL,2010-03-27,94.05,95.49,90.87,91.82,3628773
AAPL,2010-03-28,91.82,93.13,89.96,90.38,2408646
AAPL,2010-03-29,90.38,90.63,88.78,89.19,3910636
AAPL,2010-03-30,89.19,89.93,87.29,87.87,2954228
AAPL,2010-03-31,87.87,88.61,85.99,87.58,3449806
AAPL,2010-04-01,87.58,91.16,85.92,90.30,2252472
AAPL,2010-04-02,90.30,94.13,89.31,92.74,3530224
AAPL,2010-04-03,92.74,95.76,91.84,95.24,2630985
AAPL,2010-04-04,95.24,96.01,93.29,93.60,2960376
AAPL,2010-04-05,93.60,95.93,92.36,94.81,1352101
AAPL,2010-04-06,94.81,96.26,94.71,95.38,2590076
AAPL,2010-04-07,95.38,96.02,92.71,94.37,2167092
AAPL,2010-04-08,94.37,99.75,94.21,99.25,1081299
AAPL,2010-04-09,99.25,102.08,98.81,100.18,1287806
AAPL,2010-04-10,100.18,104.53,98.27,102.98,1836179
AAPL,2010-04-11,102.98,106.68,102.01,106.18,1479784
AAPL,2010-04-12,106.18,108.00,104.55,106.51,1703758
AAPL,2010-04-13,106.51,110.49,105.84,110.13,3427179
AAPL,2010-04-14,110.13,111.62,105.50,107.56,2663689
AAPL,2010-04-15,107.56,110.13,106.06,109.60,2264929
AAPL,2010-04-16,109.60,113.20,107.44,112.93,4282610
AAPL,2010-04-17,112.93,114.42,109.00,109.15,3715993
AAPL,2010-04-18,109.15,110.95,105.01,105.23,2519126
AAPL,2010-04-19,105.23,109.65,104.32,108.12,4077760
AAPL,2010-04-20,108.12,109.72,106.13,108.39,4249081
AAPL,2010-04-21,108.39,109.97,107.73,108.31,4572343
AAPL,2010-04-22,108.31,109.94,105.63,106.85,3802585
AAPL,2010-04-23,106.85,108.67,106.04,106.42,1889695
AAPL,2010-04-24,106.42,107.02,104.48,105.74,4691437
AAPL,2010-04-25,105.74,108.96,104.28,107.33,3709113
AAPL,2010-04-26,107.33,108.82,106.70,108.78,2696181
AAPL,2010-04-27,108.78,111.12,107.75,109.84,3226847
AAPL,2010-04-28,109.84,111.17,109.17,110.17,1966946
AAPL,2010-04-29,110.17,110.43,107.26,108.43,4196854
AAPL,2010-04-30,108.43,110.95,107.83,109.33,3472906
AAPL,2010-05-01,109.33,113.77,109.11,113.13,1814188
AAPL,2010-05-02,113.13,113.81,110.34,111.92,1530927
AAPL,2010-05-03,111.92,112.92,109.98,112.63,3058894
AAPL,2010-05-04,112.63,113.40,108.92,111.07,2058971
AAPL,2010-05-05,111.07,116.20,110.18,114.32,1310723
AAPL,2010-05-06,114.32,115.67,112.47,115.32,4980921
AAPL,2010-05-07,115.32,117.89,114.11,117.36,2889594
AAPL,2010-05-08,117.36,121.15,116.36,119.74,3385004
AAPL,2010-05-09,119.74,122.84,117.47,121.05,1871525
AAPL,2010-05-10,121.05,121.99,120.47,121.79,3315223
AAPL,2010-05-11,121.79,122.50,120.76,121.32,3965187
AAPL,2010-05-12,121.32,121.49,114.38,114.92,2109622
AAPL,2010-05-13,114.92,119.54,112.77,117.98,2783162
AAPL,2010-05-14,117.98,118.33,115.38,116.00,1596582
AAPL,2010-05-15,116.00,117.32,112.33,112.99,1521577
AAPL,2010-05-16,112.99,113.90,112.23,112.85,3264846
AAPL,2010-05-17,112.85,112.94,111.87,112.85,2351914
AAPL,2010-05-18,112.85,113.82,111.33,113.30,4609269
AAPL,2010-05-19,113.30,121.66,111.78,119.27,2130411
AAPL,2010-05-20,119.27,121.05,118.04,120.63,2854844
AAPL,2010-05-21,120.63,124.20,119.09,122.77,3062447
AAPL,2010-05-22,122.77,127.56,121.98,126.53,1438723
AAPL,2010-05-23,126.53,130.67,125.80,128.89,4964429
AAPL,2010-05-24,128.89,128.98,126.86,127.09,2058637
AAPL,2010-05-25,127.09,129.60,124.60,126.26,3275802
AAPL,2010-05-26,126.26,127.57,124.56,126.13,3090831
AAPL,2010-05-27,126.13,128.95,124.74,128.43,4890941
AAPL,2010-05-28,128.43,130.05,126.34,128.40,3977044
AAPL,2010-05-29,128.40,129.81,124.85,125.08,4529111
AAPL,2010-05-30,125.08,128.71,123.00,128.41,3090338
AAPL,2010-05-31,128.41,132.99,127.34,131.14,3023749
AAPL,2010-06-01,131.14,133.98,129.81,131.56,4688161
AAPL,2010-06-02,131.56,132.26,128.18,128.19,4045278
AAPL,2010-06-03,128.19,130.75,124.85,126.08,1623254
AAPL,2010-06-04,126.08,126.92,123.76,125.67,2582133
AAPL,2010-06-05,125.67,126.15,123.68,125.43,3398293
AAPL,2010-06-06,125.43,126.46,121.19,121.97,2983806
AAPL,2010-06-07,121.97,127.54,120.35,126.56,4442464
AAPL,2010-06-08,126.56,129.83,126.24,127.37,3475396
AAPL,2010-06-09,127.37,129.53,126.34,126.60,4818669
AAPL,2010-06-10,126.60,127.63,124.31,125.96,1647437
AAPL,2010-06-11,125.96,126.96,123.10,123.30,2378103
AAPL,2010-06-12,123.30,125.07,120.73,122.60,4659039
AAPL,2010-06-13,122.60,123.66,120.92,123.08,2205354
AAPL,2010-06-14,123.08,124.64,120.67,122.81,2860922
AAPL,2010-06-15,122.81,122.88,120.06,120.84,1235381
AAPL,2010-06-16,120.84,121.19,118.24,119.51,3373674
AAPL,2010-06-17,119.51,120.87,118.05,120.45,2604507
AAPL,2010-06-18,120.45,123.35,120.11,121.14,2934202
AAPL,2010-06-19,121.14,123.87,118.96,122.24,2951413
AAPL,2010-06-20,122.24,123.08,118.30,119.70,3679903
AAPL,2010-06-21,119.70,122.10,117.45,119.49,1447336
AAPL,2010-06-22,119.49,120.86,114.68,117.01,2238287
AAPL,2010-06-23,117.01,119.03,114.80,116.62,1205706
AAPL,2010-06-24,116.62,119.98,116.11,118.09,1797471
AAPL,2010-06-25,118.09,121.37,116.53,119.64,4516240
AAPL,2010-06-26,119.64,122.12,119.56,120.22,2530338
AAPL,2010-06-27,120.22,122.03,118.43,121.31,1736687
AAPL,2010-06-28,121.31,123.44,114.67,115.52,3104679
AAPL,2010-06-29,115.52,116.63,108.28,110.06,4131296
AAPL,2010-06-30,110.06,111.72,109.46,109.96,3836707
AAPL,2010-07-01,109.96,109.99,106.42,107.57,2907510
AAPL,2010-07-02,107.57,108.14,104.87,105.67,3678269
AAPL,2010-07-03,105.67,110.87,105.21,108.88,1265151
AAPL,2010-07-04,108.88,111.40,107.47,109.86,1489374
AAPL,2010-07-05,109.86,110.07,106.51,108.44,1569016
AAPL,2010-07-06,108.44,110.50,106.31,107.81,3265731
AAPL,2010-07-07,107.81,108.14,105.80,106.68,1415326
AAPL,2010-07-08,106.68,111.96,106.09,109.89,3895246
AAPL,2010-07-09,109.89,111.98,107.18,109.05,1416723
AAPL,2010-07-10,109.05,113.94,107.64,111.93,1253965
AAPL,2010-07-11,111.93,112.20,109.59,111.48,2907222
AAPL,2010-07-12,111.48,112.90,107.40,109.53,1212141
AAPL,2010-07-13,109.53,111.27,108.29,110.99,1287771
AAPL,2010-07-14,110.99,115.17,109.18,113.84,1977267
AAPL,2010-07-15,113.84,115.89,113.08,113.08,4600416
AAPL,2010-07-16,113.08,114.14,111.13,113.89,1552822
AAPL,2010-07-17,113.89,114.29,112.30,112.41,4110991
AAPL,2010-07-18,112.41,112.56,111.10,112.10,2518501
AAPL,2010-07-19,112.10,113.32,109.98,112.19,1181886
AAPL,2010-07-20,112.19,114.56,112.12,113.10,3008995
AAPL,2010-07-21,113.10,115.74,111.49,115.49,2860435
AAPL,2010-07-22,115.49,116.62,114.02,115.98,3299973
AAPL,2010-07-23,115.98,118.78,115.30,117.38,3120434
AAPL,2010-07-24,117.38,119.54,115.38,117.88,3730142
AAPL,2010-07-25,117.88,123.43,116.87,121.33,4724923
AAPL,2010-07-26,121.33,122.43,118.66,119.65,1398818
AAPL,2010-07-27,119.65,120.26,116.31,118.57,3880736
AAPL,2010-07-28,118.57,122.89,117.24,121.46,2382635
AAPL,2010-07-29,121.46,124.85,119.18,122.70,2773925
AAPL,2010-07-30,122.70,123.22,119.67,121.26,1940551
AAPL,2010-07-31,121.26,124.89,120.98,123.52,2168399
AAPL,2010-08-01,123.52,127.30,121.11,125.18,4432731
AAPL,2010-08-02,125.18,128.24,123.66,126.83,3759144
AAPL,2010-08-03,126.83,129.29,125.05,128.83,2295975
AAPL,2010-08-04,128.83,132.21,128.46,131.74,3757103
AAPL,2010-08-05,131.74,133.40,131.17,131.25,4129419
AAPL,2010-08-06,131.25,132.71,130.84,131.51,2307101
AAPL,2010-08-07,131.51,137.58,131.29,136.03,1220657
AAPL,2010-08-08,136.03,137.68,134.49,135.61,1904161
AAPL,2010-08-09,135.61,138.17,134.84,136.99,3845777
AAPL,2010-08-10,136.99,138.81,136.39,137.96,3513751
AAPL,2010-08-11,137.96,140.09,136.59,139.76,2806298
AAPL,2010-08-12,139.76,141.73,135.92,137.29,4495340
AAPL,2010-08-13,137.29,139.66,135.25,138.56,2829637
AAPL,2010-08-14,138.56,144.29,136.59,142.66,2751935
AAPL,2010-08-15,142.66,145.41,140.48,140.97,4974582
AAPL,2010-08-16,140.97,147.07,140.72,144.41,4542024
AAPL,2010-08-17,144.41,145.57,140.77,141.00,4651244
AAPL,2010-08-18,141.00,141.93,139.18,139.65,3141122
AAPL,2010-08-19,139.65,141.60,137.48,141.05,2472619
AAPL,2010-08-20,141.05,149.57,140.38,147.17,1614231
AAPL,2010-08-21,147.17,147.62,143.51,145.72,1316054
AAPL,2010-08-22,145.72,147.94,144.34,145.65,4876183
AAPL,2010-08-23,145.65,154.02,144.71,151.04,3630740
AAPL,2010-08-24,151.04,152.46,147.50,149.38,4340048
AAPL,2010-08-25,149.38,150.90,147.28,148.20,2895464
AAPL,2010-08-26,148.20,149.06,142.66,144.52,4587360
AAPL,2010-08-27,144.52,145.64,137.94,139.56,4321124
AAPL,2010-08-28,139.56,144.72,137.87,144.18,3102886
AAPL,2010-08-29,144.18,145.63,141.02,141.51,2039112
AAPL,2010-08-30,141.51,142.88,138.91,141.85,2624942
AAPL,2010-08-31,141.85,143.55,138.99,141.22,3714995
AAPL,2010-09-01,141.22,142.80,138.99,140.07,2056946
AAPL,2010-09-02,140.07,145.84,137.62,143.24,2398221
AAPL,2010-09-03,143.24,148.17,141.35,146.26,1540862
AAPL,2010-09-04,146.26,154.95,145.15,153.99,4320470
AAPL,2010-09-05,153.99,156.16,150.10,153.00,3874836
AAPL,2010-09-06,153.00,154.92,152.05,154.87,4989493
AAPL,2010-09-07,154.87,155.29,154.58,154.82,4541789
AAPL,2010-09-08,154.82,159.68,152.53,157.97,3208433
AAPL,2010-09-09,157.97,160.39,153.84,154.24,2580077
AAPL,2010-09-10,154.24,156.38,150.16,152.06,4786013
AAPL,2010-09-11,152.06,153.30,146.98,149.00,1996273
AAPL,2010-09-12,149.00,155.74,148.28,155.01,4391614
AAPL,2010-09-13,155.01,156.78,148.68,150.00,4227259
AAPL,2010-09-14,150.00,151.58,145.36,148.23,4426290
AAPL,2010-09-15,148.23,150.81,144.26,144.41,3015743
AAPL,2010-09-16,144.41,148.92,141.96,148.61,4570049
AAPL,2010-09-17,148.61,150.14,143.09,145.51,1384674
AAPL,2010-09-18,145.51,149.76,144.49,148.42,1111862
AAPL,2010-09-19,148.42,149.53,146.61,147.75,1342278
AAPL,2010-09-20,147.75,150.50,144.67,147.14,3726132
AAPL,2010-09-21,147.14,147.25,143.53,146.21,2981619
AAPL,2010-09-22,146.21,149.47,144.90,147.39,1022025
AAPL,2010-09-23,147.39,150.17,143.97,145.75,2775259
AAPL,2010-09-24,145.75,146.63,142.92,143.06,2760875
AAPL,2010-09-25,143.06,145.09,140.67,144.91,3096435
AAPL,2010-09-26,144.91,146.94,144.21,145.44,1602204
AAPL,2010-09-27,145.44,145.99,141.86,143.78,3195653
AAPL,2010-09-28,143.78,146.93,142.18,144.08,2637681
AAPL,2010-09-29,144.08,146.23,142.21,143.23,1283365
AAPL,2010-09-30,143.23,145.03,138.25,140.42,4083597
AAPL,2010-10-01,140.42,142.89,139.47,141.89,3696080
AAPL,2010-10-02,141.89,143.68,139.07,141.37,1264662
AAPL,2010-10-03,141.37,142.49,137.83,140.11,2985582
AAPL,2010-10-04,140.11,140.65,134.38,135.35,4275086
AAPL,2010-10-05,135.35,136.53,129.10,130.14,2844389
AAPL,2010-10-06,130.14,135.64,128.85,133.05,3086764
AAPL,2010-10-07,133.05,133.76,129.89,130.10,2780480
AAPL,2010-10-08,130.10,132.24,124.05,125.41,2347258
AAPL,2010-10-09,125.41,126.16,121.81,122.91,4010096
AAPL,2010-10-10,122.91,123.77,121.84,121.94,4649200
AAPL,2010-10-11,121.94,127.55,120.38,126.45,4319698
AAPL,2010-10-12,126.45,129.46,124.73,127.42,4996288
AAPL,2010-10-13,127.42,129.17,126.82,128.85,3706009
AAPL,2010-10-14,128.85,130.31,126.38,127.93,3848192
AAPL,2010-10-15,127.93,129.06,127.42,127.62,1577535
AAPL,2010-10-16,127.62,129.53,126.98,127.87,1475837
AAPL,2010-10-17,127.87,129.11,125.89,128.81,3952948
AAPL,2010-10-18,128.81,131.01,127.64,128.80,4769333
AAPL,2010-10-19,128.80,131.66,128.03,130.90,1660624
AAPL,2010-10-20,130.90,135.30,130.58,133.94,1842972
AAPL,2010-10-21,133.94,137.08,132.97,135.73,3400305
AAPL,2010-10-22,135.73,137.23,131.04,132.67,1361613
AAPL,2010-10-23,132.67,134.57,128.18,129.42,2722999
AAPL,2010-10-24,129.42,136.43,126.90,136.23,3694163
AAPL,2010-10-25,136.23,137.64,132.20,132.54,4477303
AAPL,2010-10-26,132.54,136.61,129.98,136.12,2814532
AAPL,2010-10-27,136.12,138.53,134.71,136.26,2275590
AAPL,2010-10-28,136.26,138.19,133.06,133.99,4946437
AAPL,2010-10-29,133.99,134.36,133.46,134.15,3310396
AAPL,2010-10-30,134.15,135.80,131.17,131.42,3688496
AAPL,2010-10-31,131.42,133.31,125.36,126.89,4533826
AAPL,2010-11-01,126.89,128.34,124.08,125.63,1127028
AAPL,2010-11-02,125.63,126.37,123.23,125.65,3025617
AAPL,2010-11-03,125.65,126.67,118.89,119.97,3888254
AAPL,2010-11-04,119.97,121.14,116.30,116.78,3544517
AAPL,2010-11-05,116.78,118.55,114.59,115.78,1445367
AAPL,2010-11-06,115.78,116.40,113.90,114.47,1406057
AAPL,2010-11-07,114.47,119.21,112.40,116.96,4411973
AAPL,2010-11-08,116.96,117.69,113.60,115.36,3089877
AAPL,2010-11-09,115.36,118.59,114.45,118.38,2917764
AAPL,2010-11-10,118.38,119.55,115.71,117.78,3744165
AAPL,2010-11-11,117.78,118.81,117.53,118.80,1561763
AAPL,2010-11-12,118.80,121.49,117.44,120.53,1816443
AAPL,2010-11-13,120.53,121.46,118.69,119.76,3306267
AAPL,2010-11-14,119.76,122.99,118.82,120.64,4334040
AAPL,2010-11-15,120.64,122.09,119.06,120.03,1168841
AAPL,2010-11-16,120.03,121.12,117.32,118.76,3162187
AAPL,2010-11-17,118.76,120.22,115.59,117.57,3490261
AAPL,2010-11-18,117.57,118.83,112.15,113.77,2257412
AAPL,2010-11-19,113.77,114.52,113.45,113.70,2747096
AAPL,2010-11-20,113.70,117.01,112.14,115.34,1111766
AAPL,2010-11-21,115.34,117.42,113.10,115.90,3426297
AAPL,2010-11-22,115.90,118.41,115.50,117.04,3638323
AAPL,2010-11-23,117.04,121.94,115.12,121.02,2015846
AAPL,2010-11-24,121.02,122.69,119.15,120.14,4250469
AAPL,2010-11-25,120.14,123.10,118.39,121.05,3960235
AAPL,2010-11-26,121.05,121.83,117.61,119.19,3204010
AAPL,2010-11-27,119.19,120.49,117.26,118.87,4639206
AAPL,2010-11-28,118.87,123.11,117.42,121.43,1806414
AAPL,2010-11-29,121.43,124.85,119.14,124.11,2248285
AAPL,2010-11-30,124.11,129.83,122.90,128.06,3012441
AAPL,2010-12-01,128.06,130.20,126.33,129.89,2592552
AAPL,2010-12-02,129.89,133.75,127.88,132.84,1614365
AAPL,2010-12-03,132.84,134.73,130.62,131.54,2855459
AAPL,2010-12-04,131.54,134.94,129.36,134.36,2137213
AAPL,2010-12-05,134.36,135.94,129.42,130.05,3809487
AAPL,2010-12-06,130.05,133.04,129.79,132.42,2385351
AAPL,2010-12-07,132.42,135.62,132.41,133.56,3308345
AAPL,2010-12-08,133.56,140.80,131.82,139.47,4170520
AAPL,2010-12-09,139.47,144.63,136.94,142.79,1375225
AAPL,2010-12-10,142.79,145.92,140.36,143.80,1156440
AAPL,2010-12-11,143.80,148.90,143.29,146.31,4857227
AAPL,2010-12-12,146.31,150.35,143.76,148.13,2214112
AAPL,2010-12-13,148.13,151.49,147.29,148.57,3689859
AAPL,2010-12-14,148.57,151.84,146.04,149.05,2963021
AAPL,2010-12-15,149.05,150.03,140.92,143.02,3719105
AAPL,2010-12-16,143.02,145.12,139.36,141.59,3381447
AAPL,2010-12-17,141.59,144.43,139.79,142.69,2700749
AAPL,2010-12-18,142.69,146.29,140.78,146.03,1775028
AAPL,2010-12-19,146.03,153.52,146.01,150.70,2608827
AAPL,2010-12-20,150.70,153.57,144.31,145.19,4031989
AAPL,2010-12-21,145.19,146.77,144.50,145.72,3800897
AAPL,2010-12-22,145.72,146.90,141.58,143.01,4754398
AAPL,2010-12-23,143.01,148.38,141.96,145.64,1926308
AAPL,2010-12-24,145.64,146.09,141.91,144.06,3540653
AAPL,2010-12-25,144.06,146.69,139.86,142.01,4363810
AAPL,2010-12-26,142.01,143.78,139.87,143.08,4662193
AAPL,2010-12-27,143.08,147.64,142.04,146.09,4847203
AAPL,2010-12-28,146.09,148.08,144.62,146.48,3402084
AAPL,2010-12-29,146.48,149.25,145.18,146.74,3853365
AAPL,2010-12-30,146.74,147.01,141.77,143.23,4391900
AAPL,2010-12-31,143.23,144.83,140.40,142.32,2292556
AAPL,2011-01-01,142.32,146.52,140.20,144.17,3425613
AAPL,2011-01-02,144.17,146.19,139.02,140.55,1252730
AAPL,2011-01-03,140.55,142.70,135.97,138.69,3709020
AAPL,2011-01-04,138.69,144.79,137.44,142.26,4846659
AAPL,2011-01-05,142.26,147.46,140.37,145.48,3261989
AAPL,2011-01-06,145.48,148.33,142.49,144.91,4171646
AAPL,2011-01-07,144.91,146.86,140.03,141.57,3231091
AAPL,2011-01-08,141.57,142.88,140.42,140.85,1790544
AAPL,2011-01-09,140.85,143.34,139.18,139.23,1864368
AAPL,2011-01-10,139.23,140.47,132.37,134.18,4658324
AAPL,2011-01-11,134.18,134.76,131.32,133.63,1236743
AAPL,2011-01-12,133.63,136.57,131.44,134.50,1993647
AAPL,2011-01-13,134.50,136.27,132.88,133.47,2260392
AAPL,2011-01-14,133.47,135.05,129.26,131.19,1734561
AAPL,2011-01-15,131.19,133.53,128.64,132.22,4949299
AAPL,2011-01-16,132.22,134.70,130.37,133.31,2712363
AAPL,2011-01-17,133.31,135.32,129.53,130.77,4562394
AAPL,2011-01-18,130.77,130.92,126.79,127.84,2746960
AAPL,2011-01-19,127.84,128.79,127.32,128.17,3712480
AAPL,2011-01-20,128.17,129.12,123.51,124.84,4478782
AAPL,2011-01-21,124.84,126.52,121.58,123.07,4664229
AAPL,2011-01-22,123.07,124.77,122.55,124.23,4804371
AAPL,2011-01-23,124.23,124.74,119.27,121.49,3315588
AAPL,2011-01-24,121.49,122.63,118.93,120.49,2293616
AAPL,2011-01-25,120.49,121.69,118.27,118.51,4030022
AAPL,2011-01-26,118.51,120.67,116.89,117.77,2736148
AAPL,2011-01-27,117.77,120.02,117.07,118.32,1822887
AAPL,2011-01-28,118.32,120.29,116.07,117.24,3745624
AAPL,2011-01-29,117.24,121.80,116.10,119.97,4034821
AAPL,2011-01-30,119.97,121.56,118.06,121.15,1709951
AAPL,2011-01-31,121.15,121.60,115.79,117.89,3691943
AAPL,2011-02-01,117.89,123.85,117.71,121.81,4430923
AAPL,2011-02-02,121.81,125.86,119.76,124.83,1970702
AAPL,2011-02-03,124.83,124.98,121.09,122.65,4917076
AAPL,2011-02-04,122.65,124.84,122.63,123.64,3313760
AAPL,2011-02-05,123.64,125.42,121.97,123.29,2202458
AAPL,2011-02-06,123.29,129.44,123.03,127.13,1403969
AAPL,2011-02-07,127.13,128.88,126.48,127.30,2486633
AAPL,2011-02-08,127.30,128.25,124.64,125.66,3369790
AAPL,2011-02-09,125.66,126.41,120.02,122.04,1338131
AAPL,2011-02-10,122.04,128.54,121.81,126.62,2590748
AAPL,2011-02-11,126.62,128.23,123.87,125.63,1346810
AAPL,2011-02-12,125.63,127.64,124.21,125.67,4598546
AAPL,2011-02-13,125.67,130.36,123.93,128.06,3377265
AAPL,2011-02-14,128.06,128.25,125.61,127.98,4771986
AAPL,2011-02-15,127.98,129.03,125.80,128.57,1065674
AAPL,2011-02-16,128.57,133.54,128.37,132.48,1681365
AAPL,2011-02-17,132.48,135.46,130.69,133.19,3267283
AAPL,2011-02-18,133.19,133.57,127.52,130.09,4037362
AAPL,2011-02-19,130.09,130.69,129.17,129.36,3538261
AAPL,2011-02-20,129.36,129.44,126.68,127.38,2889744
AAPL,2011-02-21,127.38,129.78,126.25,127.35,3850846
AAPL,2011-02-22,127.35,129.97,126.60,128.00,2033685
AAPL,2011-02-23,128.00,129.45,126.17,129.05,3658773
AAPL,2011-02-24,129.05,129.99,126.35,126.59,4955061
AAPL,2011-02-25,126.59,127.27,124.99,125.32,1785978
AAPL,2011-02-26,125.32,126.61,124.43,124.69,1375888
AAPL,2011-02-27,124.69,126.18,123.23,124.04,2615804
AAPL,2011-02-28,124.04,125.97,118.79,120.54,3346866
AAPL,2011-03-01,120.54,121.85,120.20,120.93,2263036
AAPL,2011-03-02,120.93,121.33,119.18,119.84,2257252
AAPL,2011-03-03,119.84,120.44,119.22,119.81,3621581
AAPL,2011-03-04,119.81,120.90,119.47,119.80,1028384
AAPL,2011-03-05,119.80,124.12,117.87,122.60,2382198
AAPL,2011-03-06,122.60,124.62,120.60,122.19,3493064
AAPL,2011-03-07,122.19,124.51,119.50,119.98,2317780
AAPL,2011-03-08,119.98,120.75,116.08,117.81,3654585
AAPL,2011-03-09,117.81,118.38,116.88,117.76,4424626
AAPL,2011-03-10,117.76,121.85,117.29,119.62,3288534
AAPL,2011-03-11,119.62,119.68,112.34,114.00,4955123
AAPL,2011-03-12,114.00,116.16,112.42,115.49,4434990
